May 17, 2016 21:02:59%Objavljena je obrada pjesme <a href="https://www.youtube.com/watch?v=En7SDhn48Us&feature=share" target=_blank>Zemljo moja</a> (Latif Moćević). Aranžman: Halid Hajduković.%May 17, 2016 21:02:59
May 21, 2016 7:11:59%Objavljen je cover pjesme <a href="https://www.youtube.com/watch?v=BHxn53COWbY" target=_blank>Run</a> (Irma Karasoftić). Aranžman: Halid Hajduković.%May 21, 2016 7:11:59
March 31, 2016 17:16:00%Objavljen je cover pjesme <a href="https://www.youtube.com/watch?v=MeCjl_ZLjsE" target=_blank>Pesma o nama</a> (Irma Karasoftić). Aranžman: Halid Hajduković.%March 31, 2016 17:16:00
May 21, 2016 17:16:00%Objavljena je obrada pjesme <a href="https://www.youtube.com/watch?v=Q_d055QmLpY" target=_blank>Eh da je tuga snijeg</a> (Infinity). Aranžman: Halid Hajduković.%May 21, 2016 17:16:00
May 21, 2016 17:16:00%Objavljena je obrada pjesme <a href="https://www.youtube.com/watch?v=Q_d055QmLpY" target=_blank>Eh da je tuga snijeg</a> (Infinity). Aranžman: Halid Hajduković.%May 21, 2016 17:16:00
March 20, 2016 17:16:00%Objavljen je cover pjesme <a href="https://www.youtube.com/watch?v=apfh3TMcP-s" target=_blank>Prijatelj pravi</a> (Halid Hajduković).%March 20, 2016 17:16:00
March 4, 2016 17:16:00%Halid i Ena M. <a href="https://www.youtube.com/watch?v=fAWFKCzF5Ms" target=_blank>Koncert u Jelićevoj</a>.%March 4, 2016 17:16:00
January 27, 2016 17:16:00%Objavljen je <a href="https://www.youtube.com/watch?v=4T0aihri5Vk" target=_blank>snimak nastupa</a> (Irina Kapetanović).%January 27, 2016 17:16:00
January 20, 2016 17:16:00%Objavljen je cover pjesme <a href="https://www.youtube.com/watch?v=AUHTJCqNx6s" target=_blank>Eh da je tuga snijeg</a> (Erna H. i Almina K.). Aranžman: Halid Hajduković.%January 20, 2016 17:16:00
December 5, 2015 17:16:00%Objavljena je obrada pjesme <a href="https://www.youtube.com/watch?v=W-XrlBVO10k" target=_blank>Secret of the lake</a> Aranžman: Halid Hajduković.%December 5, 2015 17:16:00
December 1, 2015 17:16:00%Objavljena je obrada pjesme <a href="https://www.youtube.com/watch?v=LNWnGap3Rws" target=_blank>Good Time</a> Aranžman: Halid Hajduković.%December 1, 2015 17:16:00
May 22, 2016 01:34:02%Vijest dodana preko forme%May 22, 2016 01:34:02May 22, 2016 02:54:18%%May 22, 2016 02:54:18
May 22, 2016 02:54:25%&lt;script&gt;Alert(&quot;nesto&quot;);&lt;/script&gt;%May 22, 2016 02:54:25
May 22, 2016 18:53:48%%May 22, 2016 18:53:48
May 22, 2016 18:55:33%%May 22, 2016 18:55:33
May 22, 2016 18:59:56%%May 22, 2016 18:59:56
May 22, 2016 19:00:29%%May 22, 2016 19:00:29
May 22, 2016 19:03:15%%May 22, 2016 19:03:15
May 22, 2016 19:03:46%%May 22, 2016 19:03:46
May 22, 2016 19:05:06%%May 22, 2016 19:05:06
May 22, 2016 19:05:30%%May 22, 2016 19:05:30
May 22, 2016 19:06:57%%May 22, 2016 19:06:57
May 22, 2016 19:07:44%%May 22, 2016 19:07:44
May 22, 2016 19:07:59%%May 22, 2016 19:07:59
May 22, 2016 19:08:32%%May 22, 2016 19:08:32
May 22, 2016 19:09:46%%May 22, 2016 19:09:46
May 22, 2016 19:10:23%%May 22, 2016 19:10:23
May 22, 2016 19:10:51%%May 22, 2016 19:10:51
May 22, 2016 19:11:44%%May 22, 2016 19:11:44
May 22, 2016 19:12:07%%May 22, 2016 19:12:07
May 22, 2016 19:12:52%%May 22, 2016 19:12:52
May 22, 2016 19:13:07%%May 22, 2016 19:13:07
May 22, 2016 19:16:31%%May 22, 2016 19:16:31
May 22, 2016 19:19:12%%May 22, 2016 19:19:12
May 22, 2016 19:19:28%%May 22, 2016 19:19:28
May 22, 2016 19:21:37%%May 22, 2016 19:21:37
May 22, 2016 19:22:52%%May 22, 2016 19:22:52
May 22, 2016 19:23:29%%May 22, 2016 19:23:29
May 22, 2016 19:24:06%%May 22, 2016 19:24:06
May 22, 2016 19:24:18%%May 22, 2016 19:24:18
May 22, 2016 19:24:53%%May 22, 2016 19:24:53
May 22, 2016 19:28:05%%May 22, 2016 19:28:05
May 22, 2016 19:29:00%%May 22, 2016 19:29:00
